top_k,rouge1,rouge2,rougeL,bleu,bertscore_f1,retrieval_hit_rate,citation_hit_rate,invalid_citation_count,no_citation_rate,citation_hallucination_rate
1,0.29011784934542184,0.18425292421105458,0.28072649303816793,16.975287345293403,0.6966305202245713,0.56,0.28,4,0.42,0.72
3,0.34159178632264664,0.22290300327050694,0.340130864010469,17.517745233530547,0.712983672618866,0.76,0.36,2,0.32,0.64
5,0.33903047854064694,0.22151324248840004,0.3403039096557867,17.275624421106134,0.7077816331386566,0.76,0.44,3,0.24,0.56
10,0.33490082041080493,0.20862458534829728,0.33441406263708495,23.00637865027477,0.7141234040260315,0.88,0.46,0,0.24,0.54
